ExtendedProperties,StudentID,ProgramCode,ProgramDescription,EligibilityStartDate,EligibilityEndDate,ParticipationStartDate,ParticipationEndDate,AcademicYear,ExtractedAt
[],44987,182,NSLP Reduced-Price Meal Program,2020-09-01T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44987,182,NSLP Reduced-Price Meal Program,2022-08-09T00:00:00,2022-08-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44987,182,NSLP Reduced-Price Meal Program,2023-08-07T00:00:00,2023-08-07T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44987,122,NCLB Title I Part A Basic Targeted,,,2018-10-01T00:00:00,2019-05-23T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44987,122,NCLB Title I Part A Basic Targeted,,,2019-09-23T00:00:00,2020-06-08T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44987,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,2021-11-30T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44987,122,NCLB Title I Part A Basic Targeted,2021-10-25T00:00:00,2022-06-03T00:00:00,2021-10-25T00:00:00,2022-06-03T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '2016-03-23T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",45000,144,Special Education,2016-04-26T00:00:00,2021-04-01T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45000,181,NSLP Free Meal Program,2021-03-02T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45000,181,NSLP Free Meal Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45000,181,NSLP Free Meal Program,2022-08-18T00:00:00,2023-06-08T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45000,181,NSLP Free Meal Program,2023-07-03T00:00:00,2024-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45000,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45009,181,NSLP Free Meal Program,2018-09-05T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45009,122,NCLB Title I Part A Basic Targeted,,,2018-10-01T00:00:00,2019-05-23T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45009,122,NCLB Title I Part A Basic Targeted,,,2019-09-23T00:00:00,2020-01-27T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45009,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],45009,122,NCLB Title I Part A Basic Targeted,2021-12-06T00:00:00,2022-06-03T00:00:00,2021-12-06T00:00:00,2022-06-03T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45009,122,NCLB Title I Part A Basic Targeted,,,2022-09-29T00:00:00,2023-02-17T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45009,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-16T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45009,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],45010,181,NSLP Free Meal Program,2019-08-27T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,181,NSLP Free Meal Program,2022-05-02T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,181,NSLP Free Meal Program,2022-08-09T00:00:00,2022-08-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,181,NSLP Free Meal Program,2023-08-07T00:00:00,2023-08-07T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,181,NSLP Free Meal Program,2024-04-25T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",45010,191,Homeless Program,2018-08-23T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",45010,191,Homeless Program,2019-08-22T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",45010,191,Homeless Program,2020-08-24T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",45010,191,Homeless Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,122,NCLB Title I Part A Basic Targeted,2021-10-25T00:00:00,2022-06-03T00:00:00,2021-10-25T00:00:00,2022-06-03T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",45010,191,Homeless Program,2022-08-18T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],45010,122,NCLB Title I Part A Basic Targeted,,,2022-09-29T00:00:00,2023-06-02T00:00:00,2023-2024,2026-02-22T00:20:49.056312
