local_id,state_id
46489,1845899627
46492,6944842034
44535,4627387113
46089,9656451786
44011,5016283424
45730,3696294407
45088,9443056746
44073,6691435672
45369,1264012672
44193,6435546895
43887,3549169574
43945,6958389284
45355,2031940800
46551,4465948432
43935,5569329598
43812,3900929488
44012,4711316984
46412,9377124952
43686,2470549375
44169,4912243143
43662,2315796502
43986,3606424571
46455,2997512278
46420,6785372327
46155,8231244614
46196,8270144998
44190,6181149611
43922,9601811785
44561,8730839621
46369,2391950430
44202,7073499486
44075,2731352681
46556,6588733511
43555,2998956238
43746,7687934831
43965,6907826171
46531,1161603448
43970,6403475564
44498,1130738681
45264,9607691913
44039,1208668386
43885,2537539288
43989,6721984844
46060,6243852903
46447,5717650318
45704,7693810255
44037,5475493708
43685,9423861107
46150,5271605291
45442,5116936241
46541,9192776040
46308,4550483744
44108,8250521916
46112,2909855902
45770,9743476217
46440,9599798147
43893,8483655036
46152,8375245468
46407,2689684288
44176,2361183344
43991,1310627395
45761,2212276105
46436,7916784052
43914,1313719200
46307,1279479442
46441,9564891030
43905,2112140081
43956,9716865794
45754,4760554061
43747,5503158551
46494,3082722423
43949,9448871398
46483,9635191007
45943,9536090218
44060,9650507297
44969,7726951168
44053,1142765976
43995,2489891670
46521,5936774354
43736,6753521204
43737,7629221665
46224,4291369672
46464,5326306942
46564,5062311753
43748,1065305474
43996,4257544173
46113,3592242854
45303,4173926218
46572,9900752310
46416,2832201178
43695,2596799237
46052,8360426687
44028,6382487070
44651,6060739408
45387,6168828576
43998,2710470194
44078,3609929632
43920,5711384722
43941,9225216483
46452,4695592645
44134,3551865930
43936,9620215492
44081,5276457235
45984,7045970681
43959,9367296581
43948,4644648347
43931,3953756283
46225,6067029183
45142,4756796302
43947,4576610779
43930,4747144724
44025,8689451308
46204,7987949335
46471,2971607016
44032,7753246121
46450,5163486625
45059,5323876143
43684,6680106360
43703,5381059026
43943,4512855036
46421,9270849227
44080,5053421035
44082,7252964087
46314,2211397018
46313,8003964780
46206,5945751966
44277,7230055836
43132,9773424336
46145,3395784690
46497,2463193563
46490,9138867300
44541,9752850810
44281,8743782802
44008,1391410080
43944,8981530615
44986,7743121356
46439,7110533992
46153,6903093778
44175,6149141807
44549,5212323753
46548,8590278892
44145,8910662905
44004,8656247700
44014,7325567234
43749,6956473559
43913,9147086166
44525,1649740342
43690,2272691597
43691,6965508161
43953,8261693043
46094,8766800785
43946,5374646087
44084,3968295388
44000,7367834845
44559,6160849312
43672,3779899457
43750,3691926540
45349,3925237195
46251,5775563992
43730,6007720904
44086,7156188595
46037,7026503962
46495,8995395216
46567,4133820238
46159,7625401187
43929,7639940226
43902,1150682455
44091,7056851646
43683,5636298745
44029,1251066431
43987,6691417380
43937,4029694582
46534,5276231188
44023,1632701226
44093,2917726424
44531,2183243692
46448,3982714558
46568,9072051614
44426,3437045076
46820,4610512056
46978,8283680638
46847,1987948484
46001,2538995308
44324,1601597327
46560,6419417782
44289,2720574865
44405,7274020410
44327,7455499795
46488,2635711457
44284,7642552645
44596,1729865485
44556,5463992417
45942,5766514997
44443,2551708844
46824,7233756388
44331,4989608717
43979,3682194838
44095,2100259675
44403,6131701078
44570,9326242585
44386,5283806376
44436,9494244033
44437,6608045103
44772,9263932435
44428,3793278352
46851,1241892641
46852,2423240313
45399,2313502795
46544,3575478554
46563,3585062193
46857,2033628096
44336,7150812581
46885,9072719796
43917,9367399034
46028,1322141376
44371,5381565827
44180,9663139708
44181,4070947937
44850,7281551665
44339,9137215427
45701,9332730213
46854,2182421597
44317,7349508257
46853,4398332016
44716,3518711008
44545,9923978968
44395,8117207638
45767,6058752480
46784,8563882871
44372,7724291725
46727,6904730092
44291,6163075473
44753,4791889912
45268,7064895644
44087,4242198655
44340,3732120224
43923,1244056601
44341,7009871940
45414,1340681466
44524,1241645602
44318,1328815091
44925,7029084655
45719,2995231072
43980,2532054802
46982,1729789571
44262,9199202040
44352,1512620728
43915,5098620227
44153,1521655290
44322,2427512130
43908,9151026750
44344,9786385056
44298,6565164906
44346,4085724712
46863,2802864587
44366,8718764185
44290,6342064828
44830,1109540417
44328,2944171991
44380,3517641505
44178,8098801727
44408,4343234602
46850,1225062358
46855,7265402706
44063,7971480257
44639,1148269781
44349,4125928645
46891,4669634676
43921,5998162241
44449,1729593505
44350,3787724507
45347,8793915434
46906,6362711357
44926,5572040771
46905,8515397441
44438,5645450507
45683,7782793288
44356,3005579092
44357,6933712476
46823,4390493793
44088,7410382290
46019,6795417791
46359,5797643308
44269,1232428443
43963,3576894647
44611,5690487115
44407,6765186857
44439,5359587491
45727,5680106280
44319,9194269184
46901,9272707312
44316,8479304864
45766,5309790761
46849,4762852648
46553,6262391507
45039,7610469851
43962,4272946918
44302,6739675806
44360,7465928449
44394,5443018806
46067,5667349768
46785,7103455097
46786,3349559801
44017,8109392264
46050,1329334244
43982,3398716721
46783,6937038235
46401,2616263122
44297,3297489985
44335,7678352384
44373,1245821422
44430,8348647645
44286,9278902708
44374,8935873604
46794,8151561494
44323,6191168218
44928,6392691268
